Name;Sweep (T1);;;Name;Sweep (T1);;;
93595238,0952381;-92,3644866943359;-95,9574203491211;;93595238,0952381;-98,0837020874023;-108,089126586914;;
93596825,3968254;-92,6414031982422;-102,377136230469;;93596825,3968254;-92,4743728637695;-110,752258300781;;
93598412,6984127;-96,0393371582031;-101,126068115234;;93598412,6984127;-92,0182723999023;-94,218391418457;;
93600000;-96,2757797241211;-110,111106872559;;93600000;-92,071418762207;-104,698989868164;;
93601587,3015873;-97,1172256469727;-110,695304870605;;93601587,3015873;-94,7296829223633;-103,766052246094;;
93603174,6031746;-97,0862731933594;-110,303436279297;;93603174,6031746;-92,45703125;-98,3116989135742;;
93604761,9047619;-93,4656143188477;-96,5797271728516;;93604761,9047619;-95,1899719238281;-100,73218536377;;
93606349,2063492;-91,8998260498047;-98,6221923828125;;93606349,2063492;-98,0046615600586;-104,364761352539;;
93607936,5079365;-92,8974990844727;-99,9722518920898;;93607936,5079365;-92,9349594116211;-100,446388244629;;
93609523,8095238;-98,350959777832;-102,233741760254;;93609523,8095238;-94,7037506103516;-98,750732421875;;
93611111,1111111;-95,1501388549805;-100,793365478516;;93611111,1111111;-94,5690307617188;-97,5853652954102;;
93612698,4126984;-95,2697830200195;-101,431610107422;;93612698,4126984;-96,5828628540039;-105,267303466797;;
93614285,7142857;-98,9799575805664;-104,450721740723;;93614285,7142857;-95,5241470336914;-112,149787902832;;
93615873,015873;-92,474250793457;-102,134498596191;;93615873,015873;-92,9653472900391;-100,583648681641;;
93617460,3174603;-92,7017974853516;-98,0824737548828;;93617460,3174603;-95,6905364990234;-107,912742614746;;
93619047,6190476;-93,6377105712891;-97,0507431030273;;93619047,6190476;-98,232536315918;-107,569679260254;;
93620634,9206349;-92,7994918823242;-96,4975433349609;;93620634,9206349;-100,997566223145;-116,737503051758;;
93622222,2222222;-92,7975006103516;-97,8458099365234;;93622222,2222222;-92,5044631958008;-117,109741210938;;
93623809,5238095;-95,0226058959961;-97,3461227416992;;93623809,5238095;-92,3845672607422;-100,143486022949;;
93625396,8253968;-92,840950012207;-95,7341613769531;;93625396,8253968;-96,9176406860352;-99,5490493774414;;
93626984,1269841;-93,1206512451172;-98,3464889526367;;93626984,1269841;-94,9029541015625;-98,8081893920898;;
93628571,4285714;-92,2352828979492;-98,3737335205078;;93628571,4285714;-94,5835418701172;-100,072883605957;;
93630158,7301587;-91,2147521972656;-92,091178894043;;93630158,7301587;-94,138069152832;-99,7525177001953;;
93631746,031746;-92,00439453125;-100,735794067383;;93631746,031746;-96,3841934204102;-98,6883850097656;;
93633333,3333333;-98,5912246704102;-112,424949645996;;93633333,3333333;-93,8804550170898;-103,076530456543;;
93634920,6349206;-97,0740356445313;-100,427597045898;;93634920,6349206;-92,2342910766602;-103,262672424316;;
93636507,9365079;-93,9501953125;-99,0803833007813;;93636507,9365079;-92,1614608764648;-97,5892944335938;;
93638095,2380952;-96,9962158203125;-102,931060791016;;93638095,2380952;-96,1700820922852;-109,731575012207;;
93639682,5396825;-94,4998245239258;-99,0436859130859;;93639682,5396825;-99,6252136230469;-113,534866333008;;
93641269,8412698;-94,3408813476563;-98,8470993041992;;93641269,8412698;-99,0212554931641;-102,595405578613;;
93642857,1428571;-95,9977951049805;-105,988510131836;;93642857,1428571;-93,4211807250977;-102,315338134766;;
93644444,4444444;-96,5021896362305;-104,972816467285;;93644444,4444444;-93,9252624511719;-106,802619934082;;
93646031,7460317;-97,8318252563477;-105,062210083008;;93646031,7460317;-95,127555847168;-102,731872558594;;
93647619,047619;-101,699409484863;-105,239562988281;;93647619,047619;-95,2509384155273;-108,638298034668;;
93649206,3492063;-101,08829498291;-105,219596862793;;93649206,3492063;-94,5715484619141;-98,0481491088867;;
